Move,Type,Category,Power Modifier 1,Power,Power Modifier 2,Accuracy Modifier 1,Accuracy Modifier 2,Target,Effect
Assurance,Dark,PHYSICAL,STRENGTH,2,,ENDURANCE,BRAWL,Single Target,Add 2 extra dice to the Damage Pool if the Target has already damaged the User this Turn.
Astonish,Ghost,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 8 or higher Flinch the Target.
Astral Barrage,Ghost,SPECIAL,SPECIAL,5,,DEXTERITY,CHANNEL,Multiple Targets,-
Attack Order,Bug,PHYSICAL,STRENGTH,3,,TOUGH,NATURE,Single Target,High Critical. Ranged.
Attract,Normal,SUPPORT,,0,,BEAUTY,ALLURE,Single Target,The Target is Infatuated. Attract fails if Target is the same gender as the User or the User is genderless.
Aura Sphere,Fighting,SPECIAL,SPECIAL,3,,SPIRIT,CHANNEL,Single Target,Aura Sphere can not be Evaded and ignores the User's Accuracy decreases.
Aura Wheel,Electric,PHYSICAL,STRENGTH,4,,DEXTERITY,BRAWL,Single Target,Increase the User’s Dexterity by 1. If the User is in Hangry Form Aura Wheel is considered to be Dark-Type.
Aurora Beam,Ice,SPECIAL,SPECIAL,2,,BEAUTY,CHANNEL,Single Target,On a Chance Dice roll of 10 Decrease Target’s Strength by 1.
Aurora Veil,Ice,SUPPORT,,0,,BEAUTY,NATURE,Battlefield,"The User and Allies will receive 2 less damage from both Physical and Special moves, and Clashes. Aurora Veil will fail if not performed under the effects of Hail. Lasts for 5 Turns, even if the Hail has ended. This effect can not decrease the damage below 1."
Autotomize,Steel,SUPPORT,,0,,DEXTERITY,CHANNEL,User,Increase the User’s Dexterity by 2. The User’s weight is halved for as long as they are on the Battlefield.
Avalanche,Ice,PHYSICAL,STRENGTH,2,,ENDURANCE,NATURE,Single Target,Priority -4. Add 4 extra dice to the Damage Pool if the User received damage from the Target this Turn.
Axe Kick,Fighting,PHYSICAL,STRENGTH,5,,STRENGTH,ATHLETICS,Single Target,"On a Chance Dice roll of 8 or higher Confuse the Target. If the Accuracy Roll fails, the User receives damage equal to half of the User's Max HP, rounded down. The User removes 1 Success from the Accuracy Roll."
Baby-Doll Eyes,Fairy,SUPPORT,,0,,CUTE,ALLURE,Single Target,Priority +1. Decrease the Target’s Strength by 1.
Baneful Bunker,Poison,SUPPORT,,0,,ENDURANCE,NATURE,User,"Priority +4. Shield Move. Decrease any damage the User would receive from all Actions by a Physical or Special move to zero, and negate the move's effects. Negate the effects of Support moves that Target the User. Decrease to zero the set damage from a move the User would take. Baneful Bunker stops all OHKO moves. If the Target attacked using a Physical Move, the Target is Poisoned."
Barb Barrage,Poison,PHYSICAL,SPECIAL,2,,DEXTERITY,CHANNEL,Single Target,Ranged. On a Chance Dice roll of 8 or higher Poison the Target. Add 2 extra dice to the Damage Pool if the Target is affected by a Status Condition.
Barrage,Normal,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,Ranged. Successive Actions. The User removes 1 Success from the Accuracy Roll.
Barrier,Psychic,SUPPORT,,0,,SPECIAL,CHANNEL,Single Target,Increase the User’s Defense by 2.
Baton Pass,Normal,SUPPORT,,0,,CLEVER,ETIQUETTE,User,"User Switcher Move. All Stat increases and decreases, all effects from moves, including healing over time, damage over time, and substitutes that the User had, are transferred to the switched Ally. Status Conditions, Flinch, and Infatuation are not transferred, but Confusion is."
Beak Blast,Flying,PHYSICAL,STRENGTH,4,,STRENGTH,CHANNEL,Single Target,"Priority -3. Ranged. Charge Move. If the User is hit by a non Ranged Physical move while Beak Blast is charging, the Pokemon that used the move is Burned."
Beat Up,Dark,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,"Add 2 extra dice of Damage for every ally Pokémon that spends an Action to help the User perform Beat Up, up to 3 Allies may join."
Behemoth Bash,Steel,PHYSICAL,STRENGTH,4,,ENDURANCE,BRAWL,Single Target,"If the Target is under the effects of Dynamax, add 4 extra dice to the Damage Pool."
Behemoth Blade,Steel,PHYSICAL,STRENGTH,4,,STRENGTH,BRAWL,Single Target,"If the Target is under the effects of Dynamax, add 4 extra dice to the Damage Pool."
Belch,Poison,SPECIAL,SPECIAL,5,,SPECIAL,CHANNEL,Single Target,"If the User has not consumed a Held Berry while the User was on the Battlefield, Belch fails. The User removes 1 Success from the Accuracy Roll."
Belly Drum,Normal,SUPPORT,,0,,TOUGH,PERFORM,User,"The User takes damage equal to half of the User's Max HP, rounded down. Increase User's Strength by 6. Remove all Strength reductions from the User."
Bestow,Normal,SUPPORT,,0,,COOL,ETIQUETTE,Single Target,"If Target is not holding an Item, the User gives the Target the User's Held Item. Bestow can not be Evaded and ignores the User's Accuracy decreases."
Bide,Normal,PHYSICAL,,0,,ENDURANCE,BRAWL,Single Target,"Priority +1. Charge Move. The Target receives twice the amount of damage the User received from all Physical and Special moves while charging. The User can not Evade or Clash while charging Bide. Bide's release Action is used with Priority +1, and targets the last Pokemon that targeted the User with a Physical or Special move. Ignore the Target's Defenses. Bide can not be a Critical Hit. Bide is unaffected by STAB, Super Effective, and Resistance, Immunities still apply. Bide can not be Clashed."
Bind,Normal,PHYSICAL,STRENGTH,1,,STRENGTH,BRAWL,Single Target,"Block. Deal 1 Neutral damage at the end of the Turn. This effect does not stack with other similar moves. Lasts for 5 Turns, unless the User is switched. The User removes 1 Success from the Accuracy Roll."
Bite,Dark,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 8 or higher Flinch the Target.
Bitter Blade,Fire,PHYSICAL,STRENGTH,3,,STRENGTH,ATHLETICS,Single Target,"The User restores HP equal to half the damage dealt, rounded down. Bitter Blade always restores 1 HP."
Bitter Malice,Ghost,SPECIAL,SPECIAL,2,,TOUGH,INTIMIDATE,Single Target,On a Chance Dice roll of 8 or higher Frostbite the Target. Add 2 extra dice to the Damage Pool if the Target already has a Status Condition.
Blast Burn,Fire,SPECIAL,SPECIAL,6,,SPECIAL,CHANNEL,Single Target,Recharge. The User removes 1 Success from the Accuracy Roll.
Blaze Kick,Fire,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,High Critical. On a Chance Dice roll of 9 or higher Burn the Target. The User removes 1 Success from the Accuracy Roll.
Bleakwind Storm,Flying,SPECIAL,SPECIAL,4,,SPECIAL,CHANNEL,Multiple Targets,Decrease the Targets Dexterity by 1. The User removes 2 Successes from the Accuracy Roll.
Blizzard,Ice,SPECIAL,SPECIAL,4,,SPECIAL,CHANNEL,Multiple Targets,"On a Chance Dice roll of 10 Frostbite the Target. If Hail is in effect, Blizzard can not be Evaded, ignores the User's Accuracy decreases, and ignore Blizzard's removed successes. If Sunny Weather is in effect, the User removes 2 additional Successes from Blizzard's Accuracy Roll. The User removes 3 Successes from the Accuracy Roll."
Block,Normal,SUPPORT,,0,,DEXTERITY,ALERT,Single Target,Block. This effect ends when the User swaps out. Block can not be Evaded and ignores the User's Accuracy decreases.
Blue Flare,Fire,SPECIAL,SPECIAL,6,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 9 or higher Burn the Target. The User removes 2 Successes from the Accuracy Roll.
Body Press,Fighting,PHYSICAL,VITALITY,3,,TOUGH,ATHLETICS,Single Target,-
Body Slam,Normal,PHYSICAL,STRENGTH,3,,ENDURANCE,BRAWL,Single Target,On a Chance Dice roll of 8 or higher Paralyze the Target.
Bolt Beak,Electric,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,Add 3 extra dice to the Damage pool if the Target has not had a Turn this Turn.
Bolt Strike,Electric,PHYSICAL,STRENGTH,6,,STRENGTH,BRAWL,Single Target,On a Chance Dice roll of 9 or higher Paralyze the Target. The User removes 2 Successes from the Accuracy Roll.
Bone Club,Ground,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 10 Flinch the Target. The User removes 1 Success from the Accuracy Roll.
Bone Rush,Ground,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,Succesive Actions. The User removes 1 Success from the Accuracy Roll.
Bonemerang,Ground,PHYSICAL,STRENGTH,2,,DEXTERITY,ATHLETICS,Single Target,Ranged. Double Action. The User removes 1 Success from the Accuracy Roll.
Boomburst,Normal,SPECIAL,SPECIAL,6,,TOUGH,PERFORM,Area,Sound Based.
Bounce,Flying,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,Charge Move. The User can not be targeted while charging Bounce. On a Chance Dice roll of 8 or higher Paralyze the Target. The User removes 1 Success from the Accuracy Roll.
Branch Poke,Grass,PHYSICAL,STRENGTH,2,,TOUGH,BRAWL,Single Target,-
Brave Bird,Flying,PHYSICAL,STRENGTH,5,,STRENGTH,BRAWL,Single Target,Recoil Move. The User receives 3 Neutral damage.
Breaking Swipe,Dragon,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Multiple Targets,Decrease the Target's Strength by 1.
Brick Break,Fighting,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,"If a Aurora Veil, Light Screen, or Reflect are in effect on the Target’s side of the Battlefield, remove them and add 2 extra dice to the Damage Pool."
Brine,Water,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Single Target,Add 3 extra dice to the Damage Pool if the Target has half or less of their HP.
Brutal Swing,Dark,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Area,-
Bubble,Water,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Multiple Targets,On a Chance Dice roll of 10 decrease the Target's Dexterity by 1.
Bubble Beam,Water,SPECIAL,SPECIAL,3,,DEXTERITY,CHANNEL,Single Target,On a Chance Dice roll of 10 decrease the Target’s Dexterity by 1.
Bug Bite,Bug,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,"If the Target Pokémon is holding a Berry, the User eats the Berry and gains its effects."
Bug Buzz,Bug,SPECIAL,SPECIAL,3,,SPECIAL,PERFORM,Single Target,Sound Based. On a Chance Dice roll of 10 decrease Target’s Special Defense by 1.
Bulk Up,Fighting,SUPPORT,,0,,ENDURANCE,ATHLETICS,User,Increase the User’s Strength and Defense by 1.
Bulldoze,Ground,PHYSICAL,STRENGTH,2,,STRENGTH,INTIMIDATE,Area,Decrease the Target's Dexterity by 1.
Bullet Punch,Steel,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,Priority +1. Fist Based. 
Bullet Seed,Grass,PHYSICAL,STRENGTH,1,,DEXTERITY,CHANNEL,Single Target,Ranged. Successive Actions.
Burn Up,Fire,SPECIAL,SPECIAL,5,,WILL,CHANNEL,Single Target,"The User is no longer considered an Fire-Type for as long as they are on the Battlefield. (If the User's only Type was Fire-Type, the User is considered Typeless). If a non Fire-Type Pokemon attempts to perfrom Burn Up, Burn Up will fail. "
Burning Jealousy,Fire,SPECIAL,SPECIAL,3,,CUTE,CHANNEL,Multiple Targets,"If the Target has had an Stat increase this Turn, the Target is Burned."
Calm Mind,Psychic,SUPPORT,,0,,SPIRIT,CHANNEL,User,Increase the User’s Special and Special Defense by 1.
Camouflage,Normal,SUPPORT,,0,,CLEVER,NATURE,User,The User changes its Type to match the Battlefield's enviroment. This effect last for as long as the Target User on the Battlefield. Refer to the Rulebook on Battlefield enviroments.
Captivate,Normal,SUPPORT,,0,,BEAUTY,ALLURE,Multiple Targets,Decrease the Target's Special by 2 if they are from the opposite gender than the User.
Ceaseless Edge,Dark,PHYSICAL,STRENGTH,3,,DEXTERITY,STEALTH,Single Target,"Entry Hazard. Any Pokémon that enter the Foe's Battlefield will lose 1 HP, Ceaseless Edge's effect may be stacked up to 3 times. Pokémon with the Ability Levitate and Flying-Type Pokémon are immune to this effect."
Charge,Electric,SUPPORT,,0,,SPIRIT,NATURE,User,Double the Base Power of the next Electric-Type Physical or Special move performed by the User. Increase the User’s Special Defense 1. This effect can not stack with similiar effects.
Charge Beam,Electric,SPECIAL,SPECIAL,2,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 4 or higher increase the User's Special by 1. The User removes 1 Success from the Accuracy Roll.
Charm,Fairy,SUPPORT,,0,,CUTE,ALLURE,Single Target,Decrease the Target’s Strength by 2.
Chatter,Flying,SPECIAL,SPECIAL,2,,COOL,PERFORM,Single Target,Sound Based. On a Chance Dice roll of 8 or higher Confuse the Target. 
Chilling Reception,Ice,SUPPORT,,,,COOL,NATURE,User,User Switcher Move. Begin the effects of Hail. Last 5 Turns.
Chilling Water,Water,SPECIAL,SPECIAL,2,,SPECIAL,CHANNEL,Single Target,Decrease the Target’s Strength by 1.
Chip Away,Normal,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,Chip Away ignores Defense and Evasion increases on the Target.
Chloroblast,Grass,SPECIAL,SPECIAL,6,,TOUGH,ATHLETICS,Single Target,"The User receives damage equal to half of the User's Max HP, rounded down. Accuracy -1."
Circle Throw,Fighting,PHYSICAL,STRENGTH,2,,TOUGH,ATHLETICS,Single Target,Priority -1. Target Switcher Move. The User removes 1 Success from the Accuracy Roll.
Clamp,Water,PHYSICAL,STRENGTH,2,,STRENGTH,BRAWL,Single Target,"Block. Deal 1 Neutral damage at the end of the Turn. This effect does not stack with other similar moves. Lasts for 5 Turns, unless the User is switched. The User removes 1 Success from the Accuracy Roll."
Clanging Scales,Dragon,SPECIAL,SPECIAL,4,,TOUGH,PERFORM,Multiple Targets,Sound Based. Decrease the User's Defense by 1.
Clangorous Soul,Dragon,SUPPORT,,0,,TOUGH,PERFORM,User,"The User deals damage to itself equal to half of its total HP, rounded down. Increase the User’s Strength, Dexterity, Special, Defense and Special Defense by 1."
Clear Smog,Poison,SPECIAL,SPECIAL,2,,SPIRIT,CHANNEL,Single Target,Reset all Stat increases and decreases on the Target.
Close Combat,Fighting,PHYSICAL,STRENGTH,5,,STRENGTH,BRAWL,Single Target,Decrease the User’s Defense and Special Defense by 1.
Coaching,Fighting,SUPPORT,,,,COOL,PERFORM,All Allies,Increase the target Allies Strength and Defense by 1.
Coil,Poison,SUPPORT,,0,,TOUGH,INTIMIDATE,User,"Increase the User’s Strength, Defense and Accuracy by 1."
Collision Course,Fighting,PHYSICAL,STRENGTH,4,,DEXTERITY,ATHLETICS,Single Target,Collision Course does an additional 2 damage Collision Course is Super Effective on the Target. 
Comet Punch,Normal,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,Fist Based. Successive Actions.The User removes 1 Success from the Accuracy Roll.
Comeuppance,Dark,PHYSICAL,,,,ENDURANCE,ATHLETICS,Single Target,"The Target receives damage equal to 1.5 the amount of damage the User received from the last Physical or Special move that damaged the User this Turn, rounded down. Ignore the Target's Defenses. Comeuppance can only target the Target that damaged the User last. Comeuppance can not be a Critical Hit. Comeuppance is unaffected by STAB, Super Effective, and Resistance, Immunities still apply. Comeuppance can not be Clashed."
Confide,Normal,SUPPORT,,0,,CUTE,ALLURE,Single Target,Sound Based. Decrease the Targets' Special by 1. Confide ignores the effects of Shield Moves.
Confuse Ray,Ghost,SUPPORT,,0,,SPIRIT,NATURE,Single Target,The Target is Confused.
Confusion,Psychic,SPECIAL,SPECIAL,2,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 10 Confuse the Target.
Constrict,Normal,PHYSICAL,STRENGTH,1,,STRENGTH,BRAWL,Single Target,On a Chance Dice roll of 10 lower the Target's Dexterity by 1.
Conversion,Normal,SUPPORT,,0,,WILL,CHANNEL,User,The User changes its Type at random. Roll a 1d18 to determine the new Type.
Conversion 2,Normal,SUPPORT,,0,,WILL,CHANNEL,User,"After being dealt damage, choose a Type Resistant to the Type of that move that just hit the User. That is the User's new Type for as long as the User stays on the Battlefield."
Copycat,Normal,SUPPORT,,0,,,,Single Target,"Copy the last successful move that the Target performed. All effects of the copied move apply, including decreased Accuracy. Copycat will fail if the Target did not perform a move."
Core Enforcer,Dragon,SPECIAL,SPECIAL,4,,SPECIAL,CHANNEL,Single Target,"If the Target has already used a move this Turn, remove the Target's Ability for as long as the Target stays on the Battlefield. "
Corrosive Gas,Poison,SUPPORT,,,,SPIRIT,NATURE,Single Target,The Target’s Held Item can not be used until the Target leaves the Battlefield.
Cosmic Power,Psychic,SUPPORT,,0,,SPECIAL,CHANNEL,User,Increase the User’s Defense and Special Defense by 1.
Cotton Guard,Grass,SUPPORT,,0,,SPIRIT,CHANNEL,User,Increase the User’s Defense by 3.
Cotton Spore,Grass,SUPPORT,,0,,SPIRIT,CHANNEL,Multiple Targets,Decrease the Target’s Dexterity by 2.
Counter,Fighting,PHYSICAL,,0,,ENDURANCE,ATHLETICS,Single Target,"Priority -1. The Target receives damage equal to double the amount of damage the User received from the last Physical move that damaged the User this Turn. Ignore the Target's Defenses. Counter can only target the Target that damaged the User last. Counter can not be a Critical Hit. Counter is unaffected by STAB, Super Effective, and Resistance, Immunities still apply. Counter can not be Clashed."
Court Change,Normal,SUPPORT,,0,,CLEVER,ETIQUETTE,Battlefield,"Swap any Barriers (i.e.Light Screen, Reflect etc.), Entry Hazards (i.e. Toxic Spikes, Sticky Web etc.) and effects on the Target’s side of the Battlefield (i.e. Tailwind, etc.) for the one’s on the User’s side."
Covet,Normal,PHYSICAL,STRENGTH,2,,CLEVER,STEALTH,Single Target,"If the User is not holding an item, the User takes the Target's Held Item."
Crabhammer,Water,PHYSICAL,STRENGTH,3,,STRENGTH,BRAWL,Single Target,High Critical. The User removes 1 Success from the Accuracy Roll.
Crafty Shield,Fairy,SUPPORT,,0,,SPIRIT,NATURE,User and Allies,Priority +3. The User and Allies are protected from the effects of a Support Move. 
Cross Chop,Fighting,PHYSICAL,STRENGTH,4,,DEXTERITY,BRAWL,Single Target,High Critical. The User removes 2 Successes from the Accuracy Roll.
Cross Poison,Poison,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,High Critical. On a Chance Dice roll of 10 Poison the Target.
Crunch,Dark,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 9 or higher decrease Target's Defense by 1.
Crush Claw,Normal,PHYSICAL,STRENGTH,3,,STRENGTH,BRAWL,Single Target,On a Chance Dice roll of 6 or higher Decrease the Target's Defense by 1. The User removes 1 Success from the Accuracy Roll.
Crush Grip,Normal,PHYSICAL,STRENGTH,1,,STRENGTH,BRAWL,Single Target,Add 1 extra dice to the Damage Pool for every Base HP the Target has above 5. Up to 9 extra dice may be added this way.
Curse (Ghost-Type),Ghost,SUPPORT,,0,,WILL,CHANNEL,Single Target,"If the User is a Ghost-Type, the User takes damage equal to half of the User's Max HP, rounded down. The Target takes 3 Neutral damage before attempting any move. This effect last as long as the Target stays on the Battlefield. Curse can not be Evaded and ignores the User's Accuracy decreases."
Curse (Non Ghost-Type),Ghost,SUPPORT,,0,,WILL,CHANNEL,User,"If the User is a non Ghost-Type, increase the User’s Strength and Defense by 1. Decrease the User’s Dexterity by 1."
Cut,Normal,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,-
Dark Pulse,Dark,SPECIAL,SPECIAL,3,,SPIRIT,CHANNEL,Single Target,On a Chance Dice roll of 9 or higher Flinch the Target.
Dark Void,Dark,SUPPORT,,0,,SPIRIT,CHANNEL,Multiple Targets,The Target is Asleep. The User removes 5 Successes from the Accuracy Roll. 
Darkest Lariat,Dark,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,"Ignore the Target’s Defense, and Special Defense increases."
Dazzling Gleam,Fairy,SPECIAL,SPECIAL,3,,BEAUTY,ALLURE,Multiple Targets,-
Decorate,Fairy,SUPPORT,,0,,BEAUTY,NATURE,Single Target,Increase the Target's Strength and Special by 2.
Defend Order,Bug,SUPPORT,,0,,TOUGH,NATURE,User,Increase the User's Defense and Special Defense by 1.
Defense Curl,Normal,SUPPORT,,0,,ENDURANCE,BRAWL,User,Increase the User’s Defense by 1.
Defog,Flying,SUPPORT,,0,,SPIRIT,NATURE,Single Target,"Remove Light Screen, Reflect, Safeguard, Mist and Aurora Veil from the Target’s side of the Battlefield. Remove all Entry Hazards (Toxic Spikes, Stealth Rock, etc.), and Terrains (Misty Terrain, Electric Terrain, etc.) from both sides of the Battlefield. Pokemon affected by Defog must make an additional success on all Evade rolls to Evade a move. Defog can not be Evaded and ignores the User's Accuracy decreases."
Destiny Bond,Ghost,SUPPORT,,0,,WILL,CHANNEL,User,"If the User faints this Turn from a Physical or Special move, the Pokémon that dealt the damage will faint at the same time. Destiny Bond fails if the User performed Destiny Bond last Turn."
Detect,Fighting,SUPPORT,,0,,SPIRIT,ALERT,User,"Priority +4. Shield Move. Decrease any damage the User would receive from all Actions by a Physical or Special move to zero, and negate the move's effects. Negate the effects of Support moves that Target the User. Decrease to zero the set damage from a move the User would take. Detect stops all OHKO moves."
Diamond Storm,Rock,PHYSICAL,STRENGTH,4,,DEXTERITY,CHANNEL,Multiple Targets,Ranged. On a Chance Dice roll of 6 or higher Increase the User's Defense by 2. The User removes 1 Success from the Accuracy Roll.
Dig,Ground,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,Charge Move. The User can not be targeted while charging Dig.
Dire Claw,Poison,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,High Critical. On a Chance Dice roll of 9 or higher Paralyze the Target. On a Chance Dice roll of 9 or higher Poison the Target. On a Chance Dice roll of 9 or higher Sleep the Target. Dire Claw's Chance Dice are always rolled in the same order.
Disable,Normal,SUPPORT,,0,,SPIRIT,CHANNEL,Single Target,"The Target's last successful move is Disabled, and can not be performed. Lasts for 5 Turns."
Disarming Voice,Fairy,SPECIAL,SPECIAL,2,,CUTE,PERFORM,Multiple Targets,Sound Based. Disarming Voice can not be Evaded and ignores the User's Accuracy decreases. 
Discharge,Electric,SPECIAL,SPECIAL,3,,SPECIAL,CHANNEL,Area,On a Chance Dice roll of 8 or higher Paralyze the Target.
Dive,Water,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,Charge Move. The User can not be targeted while charging Dive. 
Dizzy Punch,Normal,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,Fist Based. On a Chance Dice roll of 9 or higher Confuse the Target.
Doodle,Normal,SUPPORT,,,,CLEVER,PERFORM,User and Allies,The User and an Ally change their Abilities to the Ability of the Target.
Doom Desire,Steel,SPECIAL,SPECIAL,6,,SPIRIT,ALLURE,Single Target,"Doom Desire ignores the effects of Shield Moves and cover. If the Target faints or switches out from the Battlefield, the damage will be dealt to the next Target or to one of its Allies. Doom Desire does not deal damage until the end of the next Turn. "
Double Hit,Normal,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,Double Action. The User removes 1 Success from the Accuracy Roll.
Double Iron Bash,Steel,PHYSICAL,SPECIAL,2,,STRENGTH,BRAWL,Single Target,Fist Based. Double Hit. On a Chance Dice roll of 8 or higher Flinch the Target. 
Double Kick,Fighting,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,Double Action.
Double Shock,Electric,PHYSICAL,STRENGTH,5,,WILL,BRAWL,Single Target,"The User is no longer considered an Electric-Type for as long as they are on the Battlefield. (If the User's only Type was Electric-Type, the User is considered Typeless). If a non Electric-Type Pokemon attempts to perform Double Shock, Double Shock will fail. "
Double Slap,Normal,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,Successive Actions. The User removes 1 Success from the Accuracy Roll.
Double Team,Normal,SUPPORT,,0,,DEXTERITY,EVASION,User,Increase the User's Evasion by 1.
