Number,Species,Type 1,Type 2,Base HP,Base Str,Dot Str,Base Dex,Dot Dex,Base End,Dot End,Base Sp,Dot Sp,Base Spirit,Dot Spirit,ABILITY 1,ABILITY 2,H.ABILITY,Evolves From,Evolution Method,Height,Weight
12,Butterfree,Bug,Flying,6,2,⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Compound Eyes,,Tinted Lens,Metapod,Amateur Rank,1.1,32
12,Mega Butterfree,Bug,Flying,6,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Compound Eyes,,,,,1.1,32
13,Weedle,Bug,Poison,4,1,⬤,2,⬤⬤,1,⬤,1,⬤,1,⬤,Shield Dust,,Run Away,,,0.3,3.2
14,Kakuna,Bug,Poison,4,1,⬤,1,⬤,2,⬤⬤,1,⬤,1,⬤,Shed Skin,,,Weedle,Beginner Rank,0.6,10
15,Beedrill,Bug,Poison,6,3,⬤⬤⬤,3,⬤⬤⬤,1,⬤,2,⬤⬤,3,⬤⬤⬤,Swarm,,Sniper,Kakuna,Amateur Rank,1,29.5
15,Mega Beedrill,Bug,Poison,6,4,⬤⬤⬤⬤,4,⬤⬤⬤⬤,1,⬤,1,⬤,3,⬤⬤⬤,Adaptability,,,,,1.4,40.5
16,Pidgey,Normal,Flying,4,2,⬤⬤,2,⬤⬤,1,⬤,1,⬤,1,⬤,Keen Eye,Tangled Feet,Big Pecks,,,0.3,1.8
17,Pidgeotto,Normal,Flying,6,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Keen Eye,Tangled Feet,Big Pecks,Pidgey,Amateur Rank,1.1,30
18,Pidgeot,Normal,Flying,8,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Keen Eye,Tangled Feet,Big Pecks,Pidgeotto,Ace Rank,1.5,39.5
18,Mega Pidgeot,Normal,Flying,8,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,No Guard,,,,,2.2,50.5
19,Rattata,Normal,,3,2,⬤⬤,2,⬤⬤,1,⬤,1,⬤,1,⬤,Run Away,Guts,Hustle,,,0.3,3.5
19,Alolan Rattata,Dark,Normal,3,2,⬤⬤,2,⬤⬤,1,⬤,1,⬤,1,⬤,Gluttony,Hustle,Thick Fat,,,0.3,3.8
20,Raticate,Normal,,5,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Run Away,Guts,Hustle,Rattata,Amateur Rank,0.7,18.5
20,Alolan Raticate,Dark,Normal,7,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,1,⬤,3,⬤⬤⬤,Gluttony,Hustle,Thick Fat,Rattata-Alolan,Amateur Rank,0.7,25.5
21,Spearow,Normal,Flying,4,2,⬤⬤,2,⬤⬤,1,⬤,1,⬤,1,⬤,Keen Eye,,Sniper,,,0.3,2
22,Fearow,Normal,Flying,6,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Keen Eye,,Sniper,Spearow,Amateur Rank,1.2,38
23,Ekans,Poison,,3,2,⬤⬤,2,⬤⬤,1,⬤,1,⬤,2,⬤⬤,Intimidate,Shed Skin,Unnerve,,,2,6.9
24,Arbok,Poison,,6,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,Intimidate,Shed Skin,Unnerve,Ekans,Amateur Rank,3.5,65
25,Pikachu,Electric,,3,2,⬤⬤,3,⬤⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,Static,,Lightning Rod,,Max Friendship,0.4,6
25,Mega Pikachu,Electric,,3,3,⬤⬤⬤,4,⬤⬤⬤⬤,1,⬤,3,⬤⬤⬤,3,⬤⬤⬤,Transistor,,,,,0.4,12
26,Raichu,Electric,,6,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Static,,Lightning Rod,Pikachu,Thunder Stone,0.8,30
26,Alolan Raichu,Electric,Psychic,6,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Surge Surfer,,,Pikachu,Thunder Stone,0.7,21
27,Sandshrew,Ground,,5,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,1,⬤,1,⬤,Sand Veil,,Sand Rush,,,0.6,12
27,Alolan Sandshrew,Ice,Steel,5,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,1,⬤,1,⬤,Snow Cloak,,Slush Rush,,,0.7,40
28,Sandslash,Ground,,7,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Sand Veil,,Sand Rush,Sandshrew,Amateur Rank,1,29.5
28,Alolan Sandslash,Ice,Steel,7,3,⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,1,⬤,2,⬤⬤,Snow Cloak,,Slush Rush,Sandshrew,Ice Stone,1.2,55
29,Nidoran♀,Poison,,5,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,1,⬤,Poison Point,Rivalry,Hustle,,,0.4,7
30,Nidorina,Poison,,7,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Poison Point,Rivalry,Hustle,Nidoran♀,Amateur Rank,0.8,20
31,Nidoqueen,Poison,Ground,9,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Poison Point,Rivalry,Sheer Force,Nidorina,Moon Stone,1.3,60
32,Nidoran♂,Poison,,4,2,⬤⬤,2,⬤⬤,1,⬤,1,⬤,1,⬤,Poison Point,Rivalry,Hustle,,,0.5,9
33,Nidorino,Poison,,6,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Poison Point,Rivalry,Hustle,Nidoran♂,Amateur Rank,0.9,19.5
34,Nidoking,Poison,Ground,8,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Poison Point,Rivalry,Sheer Force,Nidorino,Moon Stone,1.4,62
35,Clefairy,Fairy,,7,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Cute Charm,Magic Guard,Friend Guard,,Max Friendship,0.6,7.5
36,Clefable,Fairy,,9,2,⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Cute Charm,Magic Guard,Unaware,Clefairy,Moon Stone,1.3,40
37,Vulpix,Fire,,3,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,Flash Fire,,Drought,,,0.6,9.9
37,Alolan Vulpix,Ice,,3,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,Snow Cloak,,Snow Warning,,,0.6,9.9
38,Ninetales,Fire,,7,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Flash Fire,,Drought,Vulpix,Fire Stone,1.1,19.9
38,Alolan Ninetales,Ice,Fairy,7,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Snow Cloak,,Snow Warning,Vulpix-Alolan,Ice Stone,1.1,19.9
39,Jigglypuff,Normal,Fairy,11,2,⬤⬤,1,⬤,1,⬤,2,⬤⬤,1,⬤,Cute Charm,Competitive,Friend Guard,,Max Friendship,0.5,5.5
40,Wigglytuff,Normal,Fairy,14,2,⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Cute Charm,Competitive,Frisk,Jigglypuff,Moon Stone,1,12
41,Zubat,Poison,Flying,4,2,⬤⬤,2,⬤⬤,1,⬤,1,⬤,1,⬤,Inner Focus,,Infiltrator,,,0.8,7.5
42,Golbat,Poison,Flying,7,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,Inner Focus,,Infiltrator,Zubat,Amateur Rank,1.6,55
43,Oddish,Grass,Poison,4,2,⬤⬤,1,⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Chlorophyll,,Run Away,,,0.5,5.4
44,Gloom,Grass,Poison,6,2,⬤⬤,1,⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Chlorophyll,,Stench,Oddish,Amateur Rank,0.8,8.6
45,Vileplume,Grass,Poison,7,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Chlorophyll,,Effect Spore,Gloom,Leaf Stone,1.2,18.6
46,Paras,Bug,Grass,3,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Effect Spore,Dry Skin,Damp,,,0.3,5.4
47,Parasect,Bug,Grass,6,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Effect Spore,Dry Skin,Damp,Paras,Amateur Rank,1,29.5
48,Venonat,Bug,Poison,6,2,⬤⬤,2,⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,Compound Eyes,Tinted Lens,Run Away,,,1,30
49,Venomoth,Bug,Poison,7,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Shield Dust,Tinted Lens,Wonder Skin,Venonat,Ace Rank,1.5,12.5
50,Diglett,Ground,,1,2,⬤⬤,3,⬤⬤⬤,1,⬤,1,⬤,2,⬤⬤,Sand Veil,Arena Trap,Sand Force,,,0.2,0.8
50,Alolan Diglett,Ground,Steel,1,2,⬤⬤,3,⬤⬤⬤,1,⬤,1,⬤,2,⬤⬤,Sand Veil,Tangling Hair,Sand Force,,,0.2,1
51,Dugtrio,Ground,,3,3,⬤⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Sand Veil,Arena Trap,Sand Force,Diglett,Amateur Rank,0.7,33.3
51,Alolan Dugtrio,Ground,Steel,3,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Sand Veil,Tangling Hair,Sand Force,Diglett-Alolan,Amateur Rank,0.7,66.6
52,Meowth,Normal,,4,2,⬤⬤,3,⬤⬤⬤,1,⬤,1,⬤,1,⬤,Pickup,Technician,Unnerve,,,0.4,4.2
52,Alolan Meowth,Dark,,4,1,⬤,3,⬤⬤⬤,1,⬤,2,⬤⬤,1,⬤,Pickup,Technician,Rattled,,,0.4,4.2
52,Galarian Meowth,Steel,,5,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,1,⬤,Pickup,Tough Claws,Unnerve,,,0.4,7.5
52,Mega Meowth,Normal,Steel,4,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Good as Gold,,,,,1.4,4.2
53,Persian,Normal,,6,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Limber,Technician,Unnerve,Meowth,Amateur Rank,1,32
53,Alolan Persian,Dark,,6,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Fur Coat,Technician,Rattled,Meowth-Alolan,Max Friendship,1.1,33
54,Psyduck,Water,,5,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Damp,Cloud Nine,Swift Swim,,,0.8,19.6
55,Golduck,Water,,8,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Damp,Cloud Nine,Swift Swim,Psyduck,Ace Rank,1.7,76.6
56,Mankey,Fighting,,4,3,⬤⬤⬤,2,⬤⬤,1,⬤,1,⬤,2,⬤⬤,Vital Spirit,Anger Point,Defiant,,,0.5,28
57,Primeape,Fighting,,6,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Vital Spirit,Anger Point,Defiant,Mankey,Amateur Rank,1,32
58,Growlithe,Fire,,5,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Intimidate,Flash Fire,Justified,,,0.7,19
58,Hisuian Growlithe,Fire,Rock,6,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Intimidate,Flash Fire,Rock Head,,,0.8,22.7
59,Arcanine,Fire,,9,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Intimidate,Flash Fire,Justified,Growlithe,Fire Stone,1.9,155
59,Hisuian Arcanine,Fire,Rock,9,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Intimidate,Flash Fire,Rock Head,Growlithe,Fire Stone,2,168
60,Poliwag,Water,,4,2,⬤⬤,3,⬤⬤⬤,1,⬤,1,⬤,1,⬤,Water Absorb,Damp,Swift Swim,,,0.6,12.4
61,Poliwhirl,Water,,6,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Water Absorb,Damp,Swift Swim,Poliwag,Amateur Rank,1,20
62,Poliwrath,Water,Fighting,9,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Water Absorb,Damp,Swift Swim,Poliwhirl,Water Stone,1.3,54
63,Abra,Psychic,,2,1,⬤,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,2,⬤⬤,Synchronize,Inner Focus,Magic Guard,,,0.9,19.5
64,Kadabra,Psychic,,4,1,⬤,3,⬤⬤⬤,1,⬤,4,⬤⬤⬤⬤,2,⬤⬤,Synchronize,Inner Focus,Magic Guard,Abra,Amateur Rank,1.3,56.5
65,Alakazam,Psychic,,5,2,⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Synchronize,Inner Focus,Magic Guard,Kadabra,Link Cable,1.5,48
65,Mega Alakazam,Psychic,,5,2,⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Trace,,,,,1.2,48
66,Machop,Fighting,,7,3,⬤⬤⬤,1,⬤,2,⬤⬤,1,⬤,1,⬤,Guts,No Guard,Steadfast,,,0.8,19.5
67,Machoke,Fighting,,8,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Guts,No Guard,Steadfast,Machop,Amateur Rank,1.5,70.5
68,Machamp,Fighting,,9,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Guts,No Guard,Steadfast,Machoke,Link Cable,1.6,130
68,Mega Machamp,Fighting,,9,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Iron Fist,,,,,1.6,130
69,Bellsprout,Grass,Poison,5,3,⬤⬤⬤,1,⬤,1,⬤,2,⬤⬤,1,⬤,Chlorophyll,,Gluttony,,,0.7,4
70,Weepinbell,Grass,Poison,6,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Chlorophyll,,Gluttony,Bellsprout,Amateur Rank,1,6.4
71,Victreebel,Grass,Poison,8,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Chlorophyll,,Gluttony,Weepinbell,Leaf Stone,1.7,15.5
72,Tentacool,Water,Poison,4,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,3,⬤⬤⬤,Clear Body,Liquid Ooze,Rain Dish,,,0.9,45.5
73,Tentacruel,Water,Poison,8,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,Clear Body,Liquid Ooze,Rain Dish,Tentacool,Ace Rank,1.6,55
74,Geodude,Rock,Ground,4,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,1,⬤,1,⬤,Rock Head,Sturdy,Sand Veil,,,0.4,20
74,Alolan Geodude,Rock,Electric,4,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,1,⬤,1,⬤,Magnet Pull,Sturdy,Galvanize,,,0.4,20.3
75,Graveler,Rock,Ground,5,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Rock Head,Sturdy,Sand Veil,Geodude,Amateur Rank,1,105
75,Alolan Graveler,Rock,Electric,5,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Magnet Pull,Sturdy,Galvanize,Geodude-Alolan,Amateur Rank,1,110
76,Golem,Rock,Ground,8,4,⬤⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,2,⬤⬤,Rock Head,Sturdy,Sand Veil,Graveler,Link Cable,1.4,300
76,Alolan Golem,Rock,Electric,8,4,⬤⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,2,⬤⬤,Magnet Pull,Sturdy,Galvanize,Graveler-Alolan,Link Cable,1.7,316
77,Ponyta,Fire,,5,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Run Away,Flash Fire,Flame Body,,,1,30
77,Galarian Ponyta,Psychic,,5,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Run Away,Pastel Veil,Anticipation,,,0.8,24
78,Rapidash,Fire,,6,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Run Away,Flash Fire,Flame Body,Ponyta,Ace Rank,1.7,95
78,Galarian Rapidash,Psychic,Fairy,6,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Run Away,Pastel Veil,Anticipation,Ponyta-Galarian,Ace Rank,1.7,80
79,Slowpoke,Water,Psychic,9,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,1,⬤,Oblivious,Own Tempo,Regenerator,,,1.2,36
79,Galarian Slowpoke,Psychic,,9,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,1,⬤,Gluttony,Own Tempo,Regenerator,,,1.2,36
80,Slowbro,Water,Psychic,9,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Oblivious,Own Tempo,Regenerator,Slowpoke,Ace Rank,1.6,78.5
80,Galarian Slowbro,Poison,Psychic,9,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,Quick Draw,Own Tempo,Regenerator,Slowpoke-Galarian,Galarica Cuff,1.6,70.5
80,Mega Slowbro,Water,Psychic,9,3,⬤⬤⬤,1,⬤,5,⬤⬤⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Shell Armor,,,,,2,120
81,Magnemite,Electric,Steel,2,1,⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Magnet Pull,Sturdy,Analytic,,,0.3,6
82,Magneton,Electric,Steel,5,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,Magnet Pull,Sturdy,Analytic,Magnemite,Ace Rank,1,60
83,Farfetch'd,Normal,Flying,5,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Keen Eye,Inner Focus,Defiant,,,0.8,15
83,Galarian Farfetch'd,Fighting,,5,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Steadfast,,Scrappy,,,0.8,42
84,Doduo,Normal,Flying,3,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,1,⬤,1,⬤,Run Away,Early Bird,Tangled Feet,,,1.4,39.2
85,Dodrio,Normal,Flying,6,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Run Away,Early Bird,Tangled Feet,Doduo,Ace Rank,1.8,85.2
86,Seel,Water,,6,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Thick Fat,Hydration,Ice Body,,,1.1,90
87,Dewgong,Water,Ice,9,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Thick Fat,Hydration,Ice Body,Seel,Ace Rank,1.7,120
88,Grimer,Poison,,8,3,⬤⬤⬤,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,Stench,Sticky Hold,Poison Touch,,,0.9,30
88,Alolan Grimer,Poison,Dark,8,3,⬤⬤⬤,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,Poison Touch,Gluttony,Power of Alchemy,,,0.7,42
89,Muk,Poison,,10,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Stench,Sticky Hold,Poison Touch,Grimer,Ace Rank,1.2,30
89,Alolan Muk,Poison,Dark,10,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Poison Touch,Gluttony,Power of Alchemy,Grimer-Alolan,Ace Rank,1,52
90,Shellder,Water,,3,2,⬤⬤,1,⬤,3,⬤⬤⬤,2,⬤⬤,1,⬤,Shell Armor,Skill Link,Overcoat,,,0.3,4
91,Cloyster,Water,Ice,5,3,⬤⬤⬤,2,⬤⬤,5,⬤⬤⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,Shell Armor,Skill Link,Overcoat,Shellder,Water Stone,1.5,132.5
92,Gastly,Ghost,Poison,3,1,⬤,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,1,⬤,Levitate,,,,,1.3,0.1
93,Haunter,Ghost,Poison,4,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Levitate,,,Gastly,Amateur Rank,1.6,0.1
94,Gengar,Ghost,Poison,6,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Levitate,Cursed Body,,Haunter,Link Cable,1.5,40.5
94,Mega Gengar,Ghost,Poison,6,2,⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Shadow Tag,,,,,1.4,40.5
95,Onix,Rock,Ground,3,2,⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,1,⬤,2,⬤⬤,Rock Head,Sturdy,Weak Armor,,,8.8,210
96,Drowzee,Psychic,,6,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,3,⬤⬤⬤,Insomnia,Forewarn,Inner Focus,,,1,32.4
97,Hypno,Psychic,,8,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,Insomnia,Forewarn,Inner Focus,Drowzee,Amateur Rank,1.6,75.6
98,Krabby,Water,,3,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,1,⬤,1,⬤,Hyper Cutter,Shell Armor,Sheer Force,,,0.4,6.5
99,Kingler,Water,,5,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Hyper Cutter,Shell Armor,Sheer Force,Krabby,Amateur Rank,1.3,60
99,Mega Kingler,Water,Steel,5,4,⬤⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Tough Claws,,,,,1.3,60
100,Voltorb,Electric,,4,1,⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Soundproof,Static,Aftermath,,,0.5,10.4
100,Hisuian Voltorb,Electric,Grass,4,1,⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Soundproof,Static,Aftermath,,,0.5,13
101,Electrode,Electric,,6,2,⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Soundproof,Static,Aftermath,Voltorb,Ace Rank,1.2,66.6
